song_id,song_title,artist_id,artist_name,language
523020,焚情,214729,張信哲 (Jeff Chang),3.0
1867000,PLAYING WITH FIRE,16523,BLACKPINK,31.0
572864,SORRY| SORRY,157035,SUPER JUNIOR,31.0
1483642,愛我的資格,156252,S.H.E,3.0
1223703,Mary Had a Little Lamb,219457,貴族精選,52.0
1734700,となりのトトロ,219457,貴族精選,17.0
904399,夢醒時分,212223,伍佰 & China Blue,3.0
678137,記得我愛你,212499,光良 (Michael Wong),3.0
1883209,裂縫中的陽光 (Before Sunrise),216168,林俊傑 (JJ Lin),3.0
1431681,The One,99987,Kodaline,52.0
715470,紅花,40312,D.L 羅時豐 (Daniel Lo),10.0
2187836,對與錯,217752,白安 (Ann),3.0
1550223,I dreamt I dwelt In Marble halls| From The Bohemian Girl (발페 보헤미아의 소녀- 대리석 궁전에 사는 꿈을 꾸었네),107452,Littlesong,-1.0
2075452,我想我可以,218899,蔡旻佑 (Evan Yo),3.0
1392127,Everglow,36938,Coldplay,52.0
892838,沒空,214283,小男孩樂團 (Men Envy Children),3.0
776948,White Noise Designed for Babies Short,200181,White Noise,-1.0
195249,等你的季節,216721,步步驚心主題曲原聲EP,3.0
737112,Unconditionally,96515,Katy Perry,52.0
1288028,直接,212761,劉若英 (Rene Liu),3.0
1274742,愛.這件事情,212445,傅又宣 (Maggie Fu),3.0
631589,I Need A Girl,16471,BIGBANG TAEYANG,31.0
1416920,Afrocatalans,44553,Danny Marquez & Ferry B,52.0
1092205,Ninja Re Bang Bang,101256,Kyary Pamyu Pamyu (きゃりーぱみゅぱみゅ),17.0
532366,半生熟,213381,品冠 (Victor Wong),3.0
13468,Losers,186296,The Weeknd,52.0
23319,Sexual Healing,117051,Marvin Gaye & Kygo,-1.0
1589161,私奔到月球,212101,五月天 (Mayday),3.0
1652017,活著Viva,219381,謝霆鋒 (Nicholas Tse),24.0
1102602,糖伯虎,221346,黃鴻升 (Alien Huang),3.0
904409,天文特徵 (Astronomical Cachet),73191,HUSH,3.0
2092055,Vocal (Album Version),141593,Pet Shop Boys,52.0
1025633,哪裡來的勇氣,220314,陳大天 (Daniel Chen),3.0
916258,Under the Stars,90560,John Legend,52.0
979127,好朋友的祝福,2528,A-Lin,3.0
1556047,我一直在,218586,花兒 (林佳音),3.0
1804993,未命名 (Untitle),215959,李玉璽 (Dino Lee),3.0
946688,When You Tell Me That You Love Me,199884,Westlife,52.0
2152202,I Think I'm in Love,83120,JUNIEL,31.0
564287,怎麼愛妳都不夠,218899,蔡旻佑 (Evan Yo),3.0
1675450,喝完咖啡之後(Reprise),194391,Urban Zakapa,31.0
2119177,全部都給你,213153,吳克群 (Kenji Wu),3.0
195699,太完美,157038,SUPER JUNIOR-M,3.0
1506585,若你碰到他,218879,蔡健雅 (Tanya Chua),3.0
383223,Tante Billas Weihnachtsvilla,159732,Schnappi(Joy),52.0
2189515,Letting Go,218879,蔡健雅 (Tanya Chua),3.0
1996345,Wanna Be That Song,25806,Brett Eldredge,52.0
1502381,Team,108468,Lorde,52.0
1970937,不忍心讓你走【東森戲劇台「當愛來敲門」片尾曲】,219785,鄒宗翰 (Hans Zou),3.0
748127,甘心替代你,219829,鄭伊健 (Ekin Cheng),24.0
1286508,Decision,134467,ONE OK ROCK,52.0
1484761,我的好兄弟,867,2013網路票選權威歌曲,3.0
413091,'S Wonderful,49065,Diana Krall,52.0
1918338,幸福不是情歌【三立偶像劇[兩個爸爸]片尾曲】,212761,劉若英 (Rene Liu),3.0
323376,Parachute,95116,Kaiser Chiefs,52.0
1799470,爸比媽咪永遠的愛 (Promise)/ 晶瑩剔透的琴聲，無瑕的愛,214160,寶寶水晶音樂,-1.0
2123021,園遊會,213320,周杰倫 (Jay Chou),3.0
334002,Animals (Radio Edit),116769,Martin Garrix,52.0
1315222,我給的愛,216512,楊乃文 (Naiwen Yang),3.0
